name,category,originalPrice,currentPrice,stock,sku,brand,description,images,tags,features,size,netQuantity,capacity,skinType,gender,countryOfOrigin,sellerName,sellerRating,freeDelivery,codAvailable
Wow Skin Science Onion Hair Oil,Natural,500,399,90,NAT-011,WOW,Hair oil for hair fall control.,https://images.unsplash.com/photo-1522337660859-02fbefca4702?auto=format&fit=crop&w=500&q=80,hair oil/onion,hair fall control,200ml,200ml,200ml,All,Unisex,India,WOW Science,4.7,true,true
Himalaya Gentle Baby Shampoo,Baby Care,300,250,100,BABY-012,Himalaya,No tears formula shampoo for babies.,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?auto=format&fit=crop&w=500&q=80,shampoo/baby,gentle,400ml,400ml,400ml,Sensitive,Unisex,India,Himalaya,4.8,true,true
Versace Eros Eau de Toilette,Fragrance,6500,5500,20,PERF-013,Versace,Luxury fragrance for men.,https://images.unsplash.com/photo-1523293188086-b46e0a804130?auto=format&fit=crop&w=500&q=80,perfume/luxury,men,100ml,100ml,100ml,All,Men,Italy,Sharans Luxury,4.9,true,true
Calvin Klein One Unisex Perfume,Fragrance,4000,3200,30,PERF-014,Calvin Klein,Fresh citrus fragrance for everyone.,https://images.unsplash.com/photo-1595867372270-c081e2894a86?auto=format&fit=crop&w=500&q=80,perfume/unisex,citrus,100ml,100ml,100ml,All,Unisex,USA,Sharans Luxury,4.6,true,true
MuscleBlaze Whey Protein,Wellness,3500,2800,40,WELL-015,MuscleBlaze,Chocolate flavoured whey protein.,https://images.unsplash.com/photo-1579722820308-d74e571900a9?auto=format&fit=crop&w=500&q=80,protein/whey,muscle building,1kg,1kg,1kg,All,Unisex,India,MuscleBlaze,4.7,true,true
Cetaphil Gentle Skin Cleanser,Skincare,500,450,200,CET-016,Cetaphil,Gentle cleanser for sensitive skin.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=500&q=80,cleanser/face,sensitive skin,125ml,125ml,125ml,Sensitive,Unisex,Canada,Sharans Official,4.9,true,true
Minimalist 10% Vitamin B3 Serum,Skincare,699,649,120,MIN-017,Minimalist,Niacinamide serum for acne marks.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=500&q=80,serum/face,acne marks,30ml,30ml,30ml,Oily,Unisex,India,Minimalist,4.8,true,true
The Body Shop Tea Tree Face Wash,Skincare,795,695,80,TBS-018,The Body Shop,Face wash for blemish prone skin.,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=500&q=80,face wash/tea tree,blemish control,250ml,250ml,250ml,Acne Prone,Unisex,UK,The Body Shop,4.7,true,true
Plum Green Tea Pore Cleansing Face Wash,Skincare,345,299,150,PLUM-019,Plum,Soap-free refreshing face wash.,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=500&q=80,face wash/green tea,pore cleansing,75ml,75ml,75ml,Oily,Unisex,India,Plum,4.6,true,true
Garnier Men Oil Clear Face Wash,Men's Grooming,200,165,180,GAR-020,Garnier,Deep cleansing oil removal.,https://images.unsplash.com/photo-1621607512214-68297f3190ef?auto=format&fit=crop&w=500&q=80,face wash/men,oil clear,100g,100g,100g,Oily,Men,France,Garnier,4.5,true,true
TRESemmé Keratin Smooth Shampoo,Hair Care,540,419,100,TRES-021,TRESemmé,Shampoo for straighter and smoother hair.,https://images.unsplash.com/photo-1629198688000-71f23e745b6e?auto=format&fit=crop&w=500&q=80,shampoo/keratin,smooth hair,580ml,580ml,580ml,Frizzy,Women,USA,Sharans Beauty,4.7,true,true
Head & Shoulders Anti-Dandruff Shampoo,Hair Care,350,280,250,HNS-022,Head & Shoulders,Clinically proven dandruff protection.,https://images.unsplash.com/photo-1629198688000-71f23e745b6e?auto=format&fit=crop&w=500&q=80,shampoo/dandruff,anti-dandruff,340ml,340ml,340ml,Dandruff,Unisex,USA,P&G,4.6,true,true
Matrix Opti.Care Professional Shampoo,Hair Care,500,450,60,MAT-023,Matrix,Professional hair care for split ends.,https://images.unsplash.com/photo-1629198688000-71f23e745b6e?auto=format&fit=crop&w=500&q=80,shampoo/professional,smooth,200ml,200ml,200ml,Normal,Unisex,USA,Matrix Salon,4.8,true,true
Indulekha Bringha Hair Oil,Hair Care,429,380,110,INDU-024,Indulekha,Ayurvedic proprietary medicine for hair fall.,https://images.unsplash.com/photo-1522337660859-02fbefca4702?auto=format&fit=crop&w=500&q=80,hair oil/ayurvedic,hair growth,100ml,100ml,100ml,All,Unisex,India,Indulekha,4.5,true,true
Parachute Advansed Jasmine Coconut Hair Oil,Hair Care,200,160,300,PARA-025,Parachute,Coconut oil with jasmine fragrance.,https://images.unsplash.com/photo-1522337660859-02fbefca4702?auto=format&fit=crop&w=500&q=80,hair oil/coconut,soft hair,250ml,250ml,250ml,All,Unisex,India,Marico,4.7,true,true
MAC Retro Matte Lipstick - Ruby Woo,Makeup,1900,1750,50,MAC-026,MAC,Iconic matte red lipstick.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=500&q=80,lipstick/red,matte finish,3g,3g,,All,Women,Canada,MAC Cosmetics,4.9,true,true
Sugar Smudge Me Not Liquid Lipstick,Makeup,499,449,120,SUG-027,Sugar,Long lasting liquid lipstick.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=500&q=80,lipstick/liquid,smudge proof,4.5ml,4.5ml,,All,Women,India,Sugar Cosmetics,4.6,true,true
Colorbar Velvet Matte Lipstick,Makeup,399,299,150,COL-028,Colorbar,Velvet matte texture.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=500&q=80,lipstick/creamy matte,hydrating,4.2g,4.2g,,All,Women,India,Colorbar,4.5,true,true
Faces Canada Ultime Pro HD Stick,Makeup,899,750,80,FAC-029,Faces Canada,HD foundation stick.,https://images.unsplash.com/photo-1596462502278-27bfdd403cc2?auto=format&fit=crop&w=500&q=80,foundation/stick,full coverage,10g,10g,,All,Women,Canada,Faces Canada,4.6,true,true
Swiss Beauty Liquid Concealer,Makeup,249,199,200,SWISS-030,Swiss Beauty,Affordable high coverage concealer.,https://images.unsplash.com/photo-1596462502278-27bfdd403cc2?auto=format&fit=crop&w=500&q=80,concealer/liquid,full coverage,6g,6g,,All,Women,China,Swiss Beauty,4.4,true,true
Bath & Body Works Japanese Cherry Blossom Mist,Bath & Body,1599,1299,60,BBW-031,Bath & Body Works,Floral fragrance mist.,https://images.unsplash.com/photo-1559182062-8e7c15277864?auto=format&fit=crop&w=500&q=80,body mist/floral,refreshing,236ml,236ml,236ml,All,Women,USA,BBW Official,4.9,true,true
Nivea Body Lotion Express Hydration,Bath & Body,400,320,150,NIV-032,Nivea,Fast absorbing body lotion.,https://images.unsplash.com/photo-1559182062-8e7c15277864?auto=format&fit=crop&w=500&q=80,body lotion/hydration,fast absorbing,400ml,400ml,400ml,Normal,Unisex,Germany,Nivea,4.7,true,true
Vaseline Intensive Care Deep Restore,Bath & Body,350,280,200,VAS-033,Vaseline,Deep moisturization for dry skin.,https://images.unsplash.com/photo-1559182062-8e7c15277864?auto=format&fit=crop&w=500&q=80,lotion/body,dry skin,400ml,400ml,400ml,Dry,Unisex,USA,Unilever,4.8,true,true
Pears Pure & Gentle Soap,Bath & Body,150,135,300,PEARS-034,Pears,Glycerin soap for gentle cleansing.,https://images.unsplash.com/photo-1547793548-7a0e7dfdb24f?auto=format&fit=crop&w=500&q=80,soap/glycerin,gentle,125g,125g,,All,Unisex,UK,HUL,4.7,true,true
Dettol Original Bathing Soap,Bath & Body,120,110,400,DET-035,Dettol,Antiseptic bathing soap.,https://images.unsplash.com/photo-1547793548-7a0e7dfdb24f?auto=format&fit=crop&w=500&q=80,soap/antiseptic,germ protection,125g,125g,,All,Unisex,UK,Reckitt,4.8,true,true
Davidoff Cool Water For Men,Fragrance,4500,3500,40,DAV-036,Davidoff,Aquatic fresh fragrance.,https://images.unsplash.com/photo-1523293188086-b46e0a804130?auto=format&fit=crop&w=500&q=80,perfume/aquatic,men,125ml,125ml,125ml,All,Men,Switzerland,Davidoff,4.8,true,true
Hugo Boss Bottled Eau de Toilette,Fragrance,6000,5200,25,HUGO-037,Hugo Boss,Woody spicy fragrance.,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=500&q=80,perfume/woody,classic,100ml,100ml,100ml,All,Men,Germany,Hugo Boss,4.8,true,true
Chanel Coco Mademoiselle,Fragrance,12000,11500,10,CHAN-038,Chanel,Oriental floral fragrance.,https://images.unsplash.com/photo-1595867372270-c081e2894a86?auto=format&fit=crop&w=500&q=80,perfume/luxury,women,100ml,100ml,100ml,All,Women,France,Chanel,5.0,true,true
Zara Man Gold,Fragrance,1500,1290,80,ZARA-039,Zara,Spicy woody fragrance.,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=500&q=80,perfume/affordable,night wear,100ml,100ml,100ml,All,Men,Spain,Zara,4.5,true,true
Johnson's Baby Powder,Baby Care,250,220,150,JOHN-040,Johnson's,Keeps baby skin soft and dry.,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?auto=format&fit=crop&w=500&q=80,baby powder,soft skin,400g,400g,,All,Unisex,USA,J&J,4.8,true,true
Pampers Active Baby Diapers,Baby Care,1200,999,60,PAMP-041,Pampers,Comfortable diapers for active babies.,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?auto=format&fit=crop&w=500&q=80,diapers/baby,leak protection,72 count,72 count,,All,Unisex,USA,P&G,4.8,true,true
Sebamed Baby Rash Cream,Baby Care,450,400,50,SEB-042,Sebamed,Relief from diaper rash.,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?auto=format&fit=crop&w=500&q=80,cream/rash,baby skin,100ml,100ml,100ml,Sensitive,Unisex,Germany,Sebamed,4.7,true,true
Chicco Baby Moments Soft Cleansing Wipes,Baby Care,300,250,100,CHI-043,Chicco,Soft wipes for gentle cleaning.,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?auto=format&fit=crop&w=500&q=80,wipes/baby,gentle,72 count,72 count,,All,Unisex,Italy,Chicco,4.6,true,true
Optimum Nutrition (ON) Gold Standard 100% Whey,Wellness,6500,5800,30,ON-044,Optimum Nutrition,High quality whey protein isolate.,https://images.unsplash.com/photo-1579722820308-d74e571900a9?auto=format&fit=crop&w=500&q=80,protein/isolate,muscle recovery,2lbs,2lbs,,All,Unisex,USA,ON,4.9,true,true
Organic India Tulsi Green Tea,Wellness,250,220,120,ORG-045,Organic India,Detox green tea with tulsi.,https://images.unsplash.com/photo-1544367563-12123d8965cd?auto=format&fit=crop&w=500&q=80,tea/green,detox,25 bags,25 bags,,All,Unisex,India,Organic India,4.8,true,true
Zandu Chyavanprash Avaleha,Wellness,350,310,90,ZAND-046,Zandu,Immunity booster.,https://images.unsplash.com/photo-1544367563-12123d8965cd?auto=format&fit=crop&w=500&q=80,immunity/ayurveda,health,900g,900g,,All,Unisex,India,Zandu,4.7,true,true
Kapiva Apple Cider Vinegar,Wellness,500,399,70,KAP-047,Kapiva,With mother vinegar for weight management.,https://images.unsplash.com/photo-1544367563-12123d8965cd?auto=format&fit=crop&w=500&q=80,vinegar/acv,weight loss,500ml,500ml,500ml,All,Unisex,India,Kapiva,4.5,true,true
Bombay Shaving Company Charcoal Face Wash,Men's Grooming,299,249,100,BSC-048,Bombay Shaving Company,Detox face wash with charcoal.,https://images.unsplash.com/photo-1621607512214-68297f3190ef?auto=format&fit=crop&w=500&q=80,face wash/charcoal,detox,100g,100g,100g,Oily,Men,India,BSC,4.6,true,true
Gillette Mach3 Turbo Razor,Men's Grooming,599,499,60,GIL-049,Gillette,Smooth shave razor.,https://images.unsplash.com/photo-1621607512214-68297f3190ef?auto=format&fit=crop&w=500&q=80,razor/men,grooming,1 pack,1 pack,,All,Men,USA,Gillette,4.8,true,true
Forest Essentials Luxury Sugar Soap,Bath & Body,450,450,40,FE-050,Forest Essentials,Ayurvedic sugar soap.,https://images.unsplash.com/photo-1547793548-7a0e7dfdb24f?auto=format&fit=crop&w=500&q=80,soap/luxury,ayurvedic,100g,100g,,All,Unisex,India,Forest Essentials,4.9,true,true
